Tour,Route,ID_Vehicule,Position,Vitesse
1,RueA,1,0.0,0.0
1,RueA,2,650.0,10.0
1,RueB,3,0.0,0.0
1,RueB,4,1300.0,20.0
1,RueC,5,0.0,0.0
1,RueC,6,1300.0,20.0
1,RueD,7,0.0,0.0
1,RueD,8,1650.0,25.0
1,RueD,9,900.0,10.0
2,RueA,1,0.0,0.0
2,RueB,3,0.0,0.0
2,RueB,4,2500.0,20.0
2,RueC,5,0.0,0.0
2,RueC,6,2500.0,20.0
2,RueD,7,0.0,0.0
2,RueD,8,3150.0,25.0
2,RueD,9,1500.0,10.0
3,RueA,1,0.0,0.0
3,RueB,3,0.0,0.0
3,RueC,5,0.0,0.0
3,RueC,6,3700.0,20.0
3,RueD,7,0.0,0.0
3,RueD,8,4650.0,25.0
3,RueD,9,2100.0,10.0
4,RueA,1,0.0,0.0
4,RueB,3,0.0,0.0
4,RueC,5,0.0,0.0
4,RueD,7,0.0,0.0
4,RueD,9,2700.0,10.0
5,RueA,1,0.0,0.0
5,RueB,3,0.0,0.0
5,RueC,5,0.0,0.0
5,RueD,7,0.0,0.0
5,RueD,9,3300.0,10.0
